intervene DT O
and NN O
issue TO O
suitable VB O
directions CC O
wherever VB O
such JJ O
directions NNS O
were VBP O
considered JJ O
necessary NNS O
to VBD O
do VBN O
complete JJ B-LEGAL
justice TO I-LEGAL
to VB O
the JJ O
parties NN O
including TO O
justice DT O
in NNS O
the VBG O
matter NN O
of IN O
ensuring DT O
that NN O
litigants IN O
engaged VBG O
in IN O
legal NNS O
proceedings VBN O
in IN O
any JJ O
court NNS O
within IN O
or DT O
outside NN O
the IN O
state CC O
of IN O
jammu DT O
and NN O
kashmir IN O
get NN O
a CC O
fair VB O
and VB O
reasonable DT O
opportunity JJ O
to CC O
access JJ O
justice NN O
by TO O
transfer NN O
of NN O
their IN O
cases NN O
to IN O
or PRP$ O
from NNS O
that TO O
state CC O
if IN O
necessary DT O
8 NN O
two IN O
distinct JJ O
questions CD O
fall CD O
for JJ O
consideration NNS O
in VBP O
the IN O
context NN O
of IN O
what DT O
is NN O
argued IN O
at WP O
the VBZ O
bar VBN O
the IN O
first DT O
involves NN O
examination DT O
of JJ O
whether VBZ O
access NN O
to IN O
justice IN O
is NN O
indeed TO O
a NN O
fundamental VBZ B-LEGAL
right RB I-LEGAL
and DT O
if JJ O
so NN O
what CC O
is IN O
the RB O
sweep WP O
and VBZ O
content DT O
of NN O
that CC O
right NN O
while IN O
the DT O
second NN O
is IN O
whether DT O
articles JJ O
32 VBZ O
and IN O
142 NNS O
of CD O
the CC O
constitution CD B-LEGAL
of IN I-LEGAL
india DT I-LEGAL
empower NN O
this IN O
court NN O
to NN O
issue DT O
suitable NN O
directions TO O
for VB O
transfer JJ O
of NNS O
cases IN O
to NN O
and IN O
from NNS O
the TO O
state CC O
of IN O
jammu DT O
kashmir NN O
in IN O
appropriate NN O
situations NN O
both IN O
these JJ O
aspects NNS O
in DT O
our DT O
view NNS O
are IN O
well PRP$ O
traversed NN O
by VBP O
judicial RB O
pronouncements VBN O
of IN O
this JJ O
court NNS O
as IN O
well DT O
as NN O
those RB O
of RB O
courts IN O
in DT O
england IN O
in NNS O
which IN O
the NN O
courts IN O
have WDT O
had DT O
an NNS O
opportunity VBP O
to VBD O
examine DT O
the NN O
jurisprudential TO O
aspect VB O
of DT O
the JJ O
right NN O
of IN O
access DT O
to NN O
justice IN O
and NN O
its TO O
correlation NN O
with CC O
the PRP$ O
right NN O
to IN O
life DT O
availability NN O
of TO O
article NN O
142 NN O
of IN O
the NN O
constitution CD B-LEGAL
of IN I-LEGAL
india DT I-LEGAL
for NN O
directing IN O
transfer NN O
of IN O
cases VBG O
in NN O
situations IN O
where NNS O
such IN O
power NNS O
is WRB O
not JJ O
stricto NN O
sensu VBZ O
available RB O
under JJ O
an NN O
ordinary JJ O
statute IN O
or DT O
the JJ O
constitution NN O
has CC O
also DT O
been NN O
judicially VBZ O
explored RB O
by VBN O
this RB O
court VBN O
on IN O
several DT O
earlier NN O
occasions IN O
we JJ O
may JJR O
deal NNS O
with PRP O
the MD O
said VB O
two IN O
aspects DT O
ad VBD O
seriatim CD O
9 NNS O
the NN O
concept NN O
of CD O
access DT O
to NN O
justice IN O
as NN O
an TO O
invaluable NN O
human IN O
right DT O
also JJ O
recognized NN O
in NN O
most RB O
constitutional VBN O
democracies IN O
as JJS O
a JJ O
fundamental NNS B-LEGAL
right IN I-LEGAL
has DT O
its JJ O
origin NN O
in VBZ O
common PRP$ B-LEGAL
law NN I-LEGAL
as IN O
much JJ O
as NN O
in RB O
the JJ O
magna IN O
carta IN O
the DT O
magna NN O
carta VBD O
lays DT O
the NN O
foundation NN O
for VBZ O
the DT O
basic NN O
right IN O
of DT O
access JJ O
to NN O
courts IN O
in NN O
the TO O
following NNS O
words IN O
no DT O
freeman JJ O
shall NNS O
be DT O
taken JJ O
or MD O
imprisoned VB O
or VBN O
disseised CC O
or VBN O
outlawed CC O
or VBN O
exiled CC O
or VBN O
in CC O
any VBN O
way CC O
ruined IN O
nor DT O
will NN O
we VBN O
go CC O
or MD O
send PRP O
against VB O
him CC O
except VB O
by IN O
the PRP O
lawful IN O
judgment IN O
of DT O
his JJ O
peers NN O
or IN O
by PRP$ O
the NNS O
law CC O
of IN O
the DT O
land NN O
to IN O
no DT O
man NN O
will TO O
we DT O
sell NN O
to MD O
no PRP O
one VB O
will TO O
we DT O
deny NN O
or MD O
delay PRP O
right VB O
to CC O
justice VB O
moreover JJ O
all TO O
those VB O
aforesaid RB O
customs PDT O
and DT O
liberties VBN O
the NNS O
observance CC O
of VBZ O
which DT O
we NN O
have IN O
granted WDT O
in PRP O
our VBP O
kingdom VBN O
as IN O
far PRP$ O
as NN O
pertains RB O
to RB O
us IN O
towards NNS O
our TO O
men PRP O
shall VB O
be PRP$ O
observed NNS O
by MD O
all VB O
our VBN O
kingdom IN O
as DT O
well PRP$ O
clergy NN O
as RB O
laymen RB O
as VBZ O
far RB O
as NNS O
pertains RB O
to RB O
them IN O
towards NNS O
their TO O
men PRP O
wherefore VB O
it PRP$ O
is NNS O
our IN O
will PRP O
and VBZ O
we PRP$ O
firmly MD O
enjoin CC O
that PRP O
the RB O
english VBP O
church IN O
be DT O
free JJ O
and NN O
the VB O
men JJ O
in CC O
our DT O
kingdom NNS O
have IN O
an PRP$ O
hold NN O
all VBP O
the DT O
aforesaid NN O
liberties PDT O
rights DT O
and JJ O
concessions NNS O
well NNS O
as CC O
peaceably NNS O
freely RB O
and IN O
quietly RB O
fully RB O
and CC O
wholly RB O
for RB O
themselves CC O
and RB O
their IN O
heirs PRP O
of CC O
us PRP$ O
and NNS O
our IN O
heirs PRP O
in CC O
all PRP$ O
aspects NNS O
and IN O
in DT O
all NNS O
places CC O
for IN O
ever DT O
as NNS O
is IN O
aforesaid RB O
an IN O
oath VBZ B-LEGAL
moreover VBG O
has DT O
been NN O
taken NN O
as VBZ O
well VBN O
on VBN O
our RB O
part RB O
as IN O
on PRP$ O
the NN O
part IN O
of IN O
the DT O
barons NN O
that IN O
all DT O
these NNS O
conditions IN O
aforesaid PDT O
shall DT O
be NNS O
kept VBP O
in MD O
good VB B-LEGAL
faith VBN I-LEGAL
and IN O
without JJ O
evil NN O
intention CC O
given IN O
under JJ O
our NN O
hand VBN O
the IN O
above PRP$ O
named NN O
and DT O
many NN O
others VBN O
being CC O
witnesses JJ O
in NNS O
the VBG O
meadow NNS O
which IN O
is DT O
called NN O
runnymede WDT O
between VBZ O
windsor VBN O
and NN O
staines IN O
on NN O
the CC O
fifteenth NNS O
day IN O
of DT O
june JJ O
in NN O
the IN O
seventeenth NN O
year IN O
of DT O
our JJ O
reign NN O
10 IN O
the PRP$ O
universal NN O
declaration CD O
of DT O
rights JJ O
drafted NN O
in IN O
the NNS O
year VBN O
1948 IN O
gave DT O
recognition NN O
to CD O
two VBD O
rights NN O
pertaining TO O
to CD O
access NNS O
to VBG O
justice TO O
in NN O
the TO O
following NN O
words IN O
article DT O
8 JJ O
everyone NNS O
has NN O
the CD O
right NN O
to VBZ O
an DT O
effective NN O
remedy TO O
by DT O
the JJ O
competent NN O
national IN O
tribunals DT O
for JJ O
acts JJ O
violating NNS O
the IN O
fundamental NNS O
rights VBG O
granted DT O
him JJ O
by NNS O
the VBN O
constitution PRP O
or IN O
by DT O
law NN O
article CC O
10 IN O
everyone NN O
is NN O
entitled CD O
in NN O
full VBZ O
equality VBN O
to IN O
a JJ O
fair NN O
and TO O
public DT O
hearing JJ O
by CC O
an JJ O
independent NN O
and IN O
impartial DT O
tribunal JJ O
in CC O
the JJ O
determination NN O
of IN O
his DT O
rights NN O
and IN O
obligations PRP$ O
and NNS O
of CC O
any NNS O
criminal CC O
charge IN O
against DT O
him JJ O
11 NN O
to IN O
the PRP O
same CD O
effect TO O
is DT O
clause JJ O
3 NN O
of VBZ O
article RB O
2 CD O
of IN O
international NN O
covenant CD O
on IN O
civil JJ O
and NN O
political IN O
rights JJ O
1966 CC O
which JJ O
provides NNS O
that CD O
each WDT O
state VBZ O
party IN O
to DT O
the NN O
covenant NN O
shall TO O
undertake DT O
that NN O
every MD O
person VB O
whose DT O
rights DT O
or NN O
freedom WP$ O
as NNS O
recognised CC O
is NN O
violated IN O
shall VBN O
have VBZ O
an VBN O
effective MD O
remedy VB O
and DT O
to JJ O
ensure NN O
that CC O
any TO O
person VB O
claiming IN O
such DT O
a NN O
remedy VBG O
shall PDT O
have DT O
his NN O
right MD O
thereto VB O
determined PRP$ O
by JJ O
competent NN O
judicial VBN O
administrative IN O
or JJ O
legislative JJ O
authorities JJ O
and CC O
the JJ O
state NNS O
should CC O
also DT O
ensure NN O
to MD O
develop RB O
the VB O
possibilities TO O
of VB O
judicial DT O
remedies NNS O
12 IN O
de JJ O
smith NNS O
s CD O
book IN O
on FW O
judicial JJ B-LEGAL
review NN I-LEGAL
of IN O
administrative JJ B-LEGAL
action NN I-LEGAL
5th IN O
ed JJ O
1995 NN O
stated CD O
the NN O
principle CD O
thus VBD O
it DT O
is NN O
a RB O
common PRP B-LEGAL
law VBZ I-LEGAL
presumption DT O
of JJ O
legislative NN O
intent NN O
that IN O
access JJ O
of NN O
queen IN O
s NN O
court IN O
in JJ O
respect JJ O
of NN O
justiciable IN O
issues NN O
is IN O
not JJ O
to NNS O
be VBZ O
denied RB O
save TO O
by VB O
clear VBN O
words JJ O
in IN O
a JJ O
statute NNS O
13 IN O
prof DT O
m NN O
cappelletti CD O
rabel NN O
a NN O
noted NN O
jurist VBZ O
in DT O
his JJ O
book NN O
access IN O
to PRP$ O
justice NN O
volume NN O
i TO O
explained NN O
the NN O
importance NN O
of VBD O
access DT O
to NN O
justice IN O
in NN O
the TO O
following NN O
words IN O
the DT O
right JJ O
of NNS O
effective DT O
access NN O
to IN O
justice JJ O
has NN O
emerged TO O
with NN O
the VBZ O
new VBN O
social IN O
rights DT O
indeed JJ O
it JJ O
is NNS O
of RB O
paramount PRP O
importance VBZ O
among IN O
these JJ O
new NN O
rights IN O
since DT O
clearly JJ O
the NNS O
enjoyment IN O
of RB O
traditional DT O
as NN O
well IN O
as JJ O
new RB O
social RB O
rights IN O
presupposes JJ O
mechanisms JJ O
for NNS O
their NNS O
effective VBP O
protection IN O
such PRP$ O
protection JJ O
moreover NN O
is JJ O
best NN O
assured NN O
by VBZ O
a RBS O
workable VBN O
remedy IN O
within DT O
the JJ O
framework NN O
of IN O
the DT O
judicial NN O
system IN O
effective DT O
access JJ O
to NN O
justice JJ O
can NN O
thus TO O
be NN O
seen MD O
as RB O
the VB O
most VBN O
basic IN O
requirement DT O
the RBS O
most JJ O
basic NN O
human DT O
right RBS O
of JJ O
a JJ O
system NN O
which IN O
purports DT O
to NN O
guarantee WDT O
legal VBZ B-LEGAL
right TO I-LEGAL
14 VB O
courts JJ O
in NN O
england CD O
have NNS O
over IN O
the NN O
centuries VBP O
post IN O
magna DT O
carta NNS O
developed VBP O
fundamental JJ O
principles NN O
of VBD O
common JJ B-LEGAL
law NNS I-LEGAL
which IN O
are JJ O
enshrined NN O
as WDT O
the VBP O
basic VBN O
rights IN O
of DT O
all JJ O
humans NNS O
these IN O
principles DT O
were NNS O
over DT O
a NNS O
period VBD O
of IN O
time DT O
recognised NN O
in IN O
the NN O
form VBN O
of IN O
bill DT O
of NN O
rights IN O
and NN O
constitutions IN O
of NNS O
various CC O
countries NNS O
which IN O
acknowledged JJ O
the NNS O
roman WDT O
maxim VBD O
ubi DT O
jus NN O
ibi NN O
remedium JJ O
ie NN O
every NN O
right NN O
when NN O
it DT O
is NN O
breached WRB O
must PRP O
be VBZ O
provided VBN O
with MD O
a VB O
right VBN O
to IN O
a DT O
remedy NN O
judicial TO O
pronouncements DT O
have NN O
delved JJ O
and NNS O
elaborated VBP O
on VBN O
the CC O
concept VBN O
of IN O
access DT O
to NN O
justice IN O
to NN O
include TO O
among NN O
other TO O
aspects VB O
the IN O
state JJ O
s NNS O
obligation DT O
to NN O
make JJ O
available NN O
to TO O
all VB O
its JJ O
citizens TO O
the DT O
means PRP$ O
for NNS O
a DT O
just NNS O
and IN O
peaceful DT O
settlement RB O
of CC O
disputes JJ O
between NN O
them IN O
as NNS O
to IN O
their PRP O
respective IN O
legal TO O
rights PRP$ O
in JJ O
r JJ O
v NNS O
secretary IN B-LEGAL
of NN I-LEGAL
state NN I-LEGAL
for NN O
home IN O
dept NN O
ex IN O
p NN O
leech NN O
manu FW O
ukwa FW O
0073 FW O
1993 FW O
1993 JJ O
4 CD O
all CD O
er CD O
539 CD O
steyn DT O
lj VBP O
was CD O
dealing JJ O
with NN O
a VBD O
prisoner VBG O
who IN O
complained DT O
that NN O
correspondence WP O
with VBD O
his IN O
solicitor NN O
concerning IN O
litigation PRP$ O
in NN O
which VBG O
he NN O
was IN O
involved WDT O
or PRP O
which VBD O
he VBN O
intended CC O
to WDT O
launch PRP O
was VBD O
being TO O
censored NN O
by VBD O
the VBG O
prison VBN O
authorities IN O
under DT O
the NN O
prisons NNS O
rules IN O
1964 DT O
he NNS O
challenged NNS O
the CD O
authority PRP O
of VBD O
the DT O
secretary NN B-LEGAL
of IN I-LEGAL
state DT I-LEGAL
to NN O
create IN O
an NN O
impediment TO O
in VB O
the DT O
free NN O
flow IN O
of DT O
communication JJ O
between NN O
him IN O
and NN O
his IN O
solicitor PRP O
about CC O
contemplated PRP$ O
legal NN O
proceedings IN O
the JJ O
court JJ O
held NNS O
that DT O
access NN O
to VBD O
justice IN O
was NN O
a TO O
basic NN O
right VBD O
which DT O
could JJ O
not NN O
be WDT O
denied MD O
or RB O
diluted VB O
by VBN O
any CC O
kind VBN O
of IN O
interference DT O
or NN O
hindrance IN O
the NN O
court CC O
said VB O
it DT O
is NN O
a VBD O
principle PRP O
of VBZ O
our DT O
law NN O
that IN O
every PRP$ O
citizen NN O
has IN O
a DT O
right NN O
of VBZ O
unimpeded DT O
access NN O
to IN O
a JJ O
court NN O
in TO O
raymond DT O
v NN O
honey IN O
manu NN O
ukhl NN O
0003 NN O
1982 NN O
1983 IN O
ac CD O
1 CD O
manu CD O
ukhl NN O
0003 CD O
1982 NN O
1982 NN O
1 CD O
alt CD O
er CD O
756 CD O
lord NN O
wilberforce VBD O
described CD O
it NN O
as NN O
a VBD O
basic PRP O
right IN O
even DT O
in JJ O
our NN O
unwritten RB O
constitution IN O
it PRP$ O
ranks JJ O
as NN O
a PRP O
constitutional VBZ O
right IN O
in DT O
raymond JJ O
v NN O
honey IN O
lord NN O
wilberforce NN O
said NN O
that NN O
there NN O
was VBD O
nothing IN O
in EX O
the VBD O
prisons NN O
act IN O
1952 DT O
that NNS O
confers NN O
power CD O
to IN O
interfere NNS O
with NN O
this TO O
right VB O
or IN O
to DT O
hinder NN O
its CC O
exercise TO O
lord VB O
wilberforce PRP$ O
said NN O
that NN O
rules NN O
which VBD O
did IN O
not NNS O
comply WDT O
with VBD O
this RB O
principle VB O
would IN O
be DT O
ultra NN O
vires MD O
lord VB O
elwyn JJ O
jonesand NNS O
lord VBP O
russell JJ O
of NN O
killowan NN O
agreed NN O
it IN O
is NNS O
true VBD O
that PRP O
lord VBZ O
wilberforce JJ O
held IN O
that NN O
the NN O
rules VBD O
properly IN O
construed DT O
were NNS O
not RB O
ultra VBN O
vires VBD O
but RB O
that JJ O
does NNS O
not CC O
affect DT O
the VBZ O
importance RB O
of VB O
the DT O
observations NN O
lord IN O
bridge DT O
held NNS O
that VBP O
rules NN O
in VBD O
question IN O
in NNS O
that IN O
case NN O
were IN O
ultra DT O
vires NN O
he VBD O
went JJ O
further NNS O
than PRP O
lord VBD O
wilberforce RB O
and IN O
said JJ O
that NN O
a CC O
citizen VBD O
s IN O
right DT O
to NN O
unimpeded NN O
access NN O
can TO O
only JJ O
be NN O
taken MD O
away RB O
by VB O
express VBN O
enactment RP O
it IN O
seems JJ O
to NN O
us PRP O
that VBZ O
lord TO O
wilberforce PRP O
s IN O
observation NN O
ranks NN O
as JJ O
the NN O
ratio NNS O
decidendi IN O
of DT O
the NN O
case NN O
and IN O
we DT O
accept NN O
that CC O
such PRP O
rights VBP O
can IN O
as JJ O
a NNS O
matter MD O
of IN O
legal DT O
principle NN O
be IN O
taken JJ O
away NN O
by VB O
necessary VBN O
implication RP O
15 IN O
the JJ O
legal NN O
position CD O
is DT O
no JJ O
different NN O
in VBZ O
india DT O
access JJ O
to IN O
justice JJ O
has NN O
been TO O
recognised NN O
as VBZ O
a VBN O
valuable VBN O
right IN O
by DT O
courts JJ O
in NN O
this IN O
country NNS O
long IN O
before DT O
the NN O
commencement RB O
of IN O
the DT O
constitution NN O
reference IN O
in DT O
this NN O
regard NN O
may IN O
be DT O
made NN O
to MD O
re VB O
llewelyn VBN O
evans TO O
manu VB O
mh JJ O
0065 NNS O
1926manu VBP O
mh JJ O
0065 CD O
1926 CD O
air NN O
1926 CD O
bom CD O
551 NN O
in CD O
which NN O
evans CD O
was IN O
arrested WDT O
in NNS O
aden VBD O
and VBN O
brought IN O
to NN O
bombay CC O
on VBD O
the TO O
charge VB O
of IN O
criminal DT B-LEGAL
breach NN I-LEGAL
of IN I-LEGAL
trust JJ I-LEGAL
evan NN O
s IN O
legal NN O
adviser NN O
was JJ O
denied JJ O
access NN O
to VBD O
meet VBN O
the NN O
prisoner TO O
the VB O
magistrate DT O
who NN O
ordered DT O
the NN O
remand WP O
held VBD O
that DT O
he NN O
had VBD O
no IN O
jurisdiction PRP O
to VBD O
grant DT O
access NN O
notwithstanding TO O
section VB O
40 NN O
the VBG O
prisons NN O
act CD O
1894 DT O
the NNS O
question NN O
that CD O
therefore DT O
fell NN O
for IN O
consideration NN O
was VBD O
whether IN O
the NN O
right VBD O
extended IN O
to DT O
the NN O
stage VBD O
where TO O
the DT O
prisoner NN O
was WRB O
in DT O
police NN O
custody VBD O
the IN O
high NN O
court NN O
of DT O
bombay JJ O
while NN O
referring IN O
to NN O
section IN O
340 VBG O
of TO O
the NN O
code CD O
of IN O
criminal DT O
procedure NN O
1898 IN O
held JJ O
that NN O
the CD O
right VBD O
under IN O
that DT O
provision NN O
implied IN O
that DT O
the NN O
prisoner VBD O
should IN O
have DT O
a NN O
reasonable MD O
opportunity VB O
if DT O
in JJ O
custody NN O
of IN O
getting IN O
into NN O
communication IN O
with VBG O
his IN O
legal NN O
adviser IN O
for PRP$ O
the JJ O
purposes NN O
of IN O
preparing DT O
his NNS O
defence IN O
madgavkar VBG O
j PRP$ O
comprising NN O
the NN O
bench NN O
added VBG O
that DT O
if NN O
the VBD O
ends IN O
of IN O
justice DT O
is NNS O
justice IN O
and NN O
the VBZ O
spirit NN O
of CC O
justice DT O
is NN O
fairness IN O
then NN O
each VBZ O
side JJ O
should RB O
have DT O
equal NN O
opportunity MD O
to VB O
prepare JJ O
its NN O
own TO O
case VB O
and PRP$ O
to JJ O
lay NN O
its CC O
evidence TO O
fully VB O
freely PRP$ O
and NN O
fairly RB O
before RB O
the CC O
court RB O
this IN O
necessarily DT O
involves NN O
preparation DT O
such RB O
preparation VBZ O
is NN O
far JJ O
more NN O
effective VBZ O
from RB O
the RBR O
point JJ O
of IN O
view DT O
of NN O
justice IN O
if NN O
it IN O
is NN O
made IN O
with PRP O
the VBZ O
aid VBN O
of IN O
skilled DT O
legal NN O
advice IN O
advice JJ O
so JJ O
valuable NN O
that NN O
in RB O
the JJ O
gravest IN O
of IN O
criminal DT O
trials NN O
when IN O
life JJ O
or NNS O
death WRB O
hangs NN O
in CC O
the NN O
balance NNS O
the IN O
very DT O
state NN O
which DT O
undertakes RB O
the NN O
prosecution WDT O
of VBZ O
the DT O
prisoner NN O
also IN O
provides DT O
him NN O
if RB O
poor VBZ O
with PRP O
such IN O
legal JJ O
assistance IN O
16 JJ O
reference JJ O
may NN O
also CD O
be NN O
made MD O
to RB O
pk VB O
tare VBN O
v TO O
emperor VB O
manu NN O
na JJ O
0067 NN O
1942manu NN O
na IN O
0067 CD O
1942 CD O
air NN O
1943 CD O
nagpur CD O
26 NN O
that CD O
was NN O
a CD O
case WDT O
where VBD O
the DT O
petitioner NN O
had WRB O
participated DT O
in NN O
the VBD O
quit VBN O
india IN O
movement DT O
of NN O
1942 JJ O
the NN O
detention IN O
was CD O
challenged DT O
on NN O
the VBD O
ground VBN O
of IN O
being DT O
vitiated NN O
on IN O
account VBG O
of VBN O
refusal IN O
of NN O
permission IN O
by NN O
the IN O
authorities NN O
to IN O
allow DT O
them NNS O
to TO O
meet VB O
their PRP O
counsel TO O
to VB O
seek PRP$ O
legal NN O
advice TO O
or VB O
approach JJ O
the NN O
court CC O
in VB O
person DT O
the NN O
state IN O
opposed NN O
that DT O
plea NN O
based VBD O
on IN O
defence NN O
of VBN O
india IN O
act NN O
1939 IN O
which NN O
according NN O
to CD O
it WDT O
took VBG O
away TO O
right PRP O
of VBD O
the RB O
detenu JJ O
to IN O
move DT O
a NN O
habeas TO B-LEGAL
corpus VB I-LEGAL
petition DT O
under JJ O
section NN O
491 NN O
of IN O
the NN O
code CD O
of IN O
criminal DT O
procedure NN O
1898 IN O
rejecting JJ O
the NN O
contention CD O
and VBG O
relying DT O
upon NN O
the CC O
observation VBG O
of IN O
lord DT O
hailsham NN O
in IN O
eshugbayi NN O
v NN O
officer IN O
administering JJ O
the JJ O
govt NN O
of VBG O
nigeria DT O
the NN O
court IN O
held NNS O
that DT O
such NN O
fundamental VBD O
rights IN O
safeguarded JJ O
under JJ O
the NNS O
constitution VBN O
with IN O
elaborate DT O
and NN O
anxious IN O
care JJ O
and CC O
upheld JJ O
time NN O
and CC O
again JJ O
by NN O
the CC O
highest RB O
